"hässlich | schlecht [Wetter]","ruma | ruman | rumaa | rumia"
"Essen | Speise","ruoka | ruoan | ruokaa | ruokia"
"braun","ruskea | ruskean | ruskeaa | ruskeita"
"Wetter ","sää | sään | säätä | säitä"
"dürfen | bekommen | verdienen","saada | saan | sain | saanut [2]"
"Krankenhaus","sairaala | sairaalan | sairaalaa | sairaaloita"
"krank","sairas | sairaan | sairasta | sairaita"
"Deutsch | Deutschland","saksa | saksan | saksaa"
"gleichfalls | ebenfalls","samoin"
"Bett","sänky | sängyn | sänkyä | sänkyjä"
"sagen","sanoa | sanon | sanoin | sanonut [1]"
"regnen","sataa | sataa | satoi | satanut [1, 3P]"
"es schneit","sataa lunta"
"es regnet","sataa vettä"
"Hafen","satama | sataman | satamaa | satamia"
"in die Sauna gehen | saunieren","saunoa | saunon | saunoin | saunonut"
"es","se"
"stehen","seisoa | seison | seisoin | seisonut"
"Cousin | Cousine","serkku | serkun | serkkua | serkkuja"
"also","siis"
"deshalb | darum","siksi"
"denn","sillä"
"blau","sininen | sinisen | sinistä | sinisiä"
"Geschwister","sisarus | sisaruksen | sisarusta | sisaruksia"
"Schwester","sisko | siskon | siskoa | siskoja"
"dann","sitten | silloin"
"Sofa","sohva | sohvan | sohvaa | sohvia"
"[Instrument] spielen","soittaa | soitan | soitin | soittanut [1]"
"Zucker ","sokeri | sokerin | sokeria | sokiereja"
"passen","sopia | sovin | sovin | sopinut [1]"
"Nachname","sukunimi | sukunimen | sukunimeä | sukunimiä"
"Sonntag","sunnuntai | sunnuntain | sunnuntaita"
"Supermarkt","supermarketti | supermarketin | supermarkettia | supermarketteja"
"Herbst","syksy | syksyn | syksyä | syksyjä"
"geboren","syntynyt | syntyneen | syntynyttä | syntyneitä"
"essen","syödä | syön | söin | syönyt [2]"
"September","syyskuu | syyskuun | syyskuuta | syyskuita"
"hinter","taakse [Gen + ~]"
"zurück","takaisin"
"Haus | Gebäude","talo | talon | taloa | taloja"
"Winter","talvi | talven | talvea | talvia"
"dieser, das hier","tämä | tämän | täitä | näitä"
"Jänner","tammikuu | tammikuun | tammikuuta | tammikuita"
"heute","tänään"
"heute","tänään"
"brauchen | benötigen","tarvita | tarvitsen | tarvitsin | tarvinnut [5]"
"hier | das","tässä"
"Tante","täti | tädin | tätiä | tätejä"
"[sich] treffen ","tavata | tapaan | tapasin | tavannut [4]"
"müssen","täytyä | täytyy | täytyi [3P, Gen + ~]"
"Tee","tee | teen | teetä"
"tun | machen","tehdä | teen | tein | tehnyt [2]"
"gesund","terve | terveen | tervettä | terveitä"
"willkommen","tervetuola"
"Gesundheitszentrum","terveyskeskus | terveyskeskuksen | terveyskeskusta | terveyskeskuksia"
"wissen","tietää | tieden | tiesin | tiennyt [1]"
"natürlich","tietysti"
"Dienstag","tiistai | tiistain | tiistaita"
"zweiter | anderer","toinen"
"Donnerstag","torstai | torstain | torstaita"
"Mai","toukokuu | toukokuun | toukokuuta | toukokuita"
"kommen","tulla | tulen | tulin | tullut [3]"
"jener","tuo | tuon | tuota | noita"
"Sessel","tuoli | tolen | tuolia | tuoleja"
"dort","tuossa"
"windig","tuulinen | tuulisen | tuulista | tuulisia"
"wehen","tuulla | tuulee | tuuli | tuulut [3, 3P]"
"mögen | gern machen","tykätä | tykkään | tykkäsin | tykännyt [4]"
"blöd | dumm","typerä | typerän | typerää | typeriä"
"Tochter","tytär | tyttären | tytärtä | tüttäriä"
"Mädchen","tyttö | tytön | tyttöä | tyttöjä"
"Freundin [in Beziehung]","tyttöystävä | tyttöystävän | tyttöystävää | tyttöystäviä"
"Opa","ukki | ukin | ukkia | ukkeja"
